epoch,stage,stage_epoch,train_loss,train_digit_accuracy,train_exact_accuracy,val_loss,val_digit_accuracy,val_exact_accuracy
1,head_warmup,1,2.297002659903632,0.14300411522633744,0.009259259259259259,2.2963253303810403,0.10699588477366255,0.0
2,head_warmup,2,2.188148318985362,0.1934156378600823,0.009259259259259259,2.254755844304591,0.102880658436214,0.0
3,head_warmup,3,2.1180892755955827,0.24897119341563786,0.033950617283950615,2.2355027110488326,0.13991769547325103,0.0
4,head_warmup,4,2.0671236603348344,0.2613168724279835,0.027777777777777776,2.219086903112906,0.13991769547325103,0.0
5,head_warmup,5,2.0134310722351074,0.2993827160493827,0.040123456790123455,2.202020274268256,0.15637860082304528,0.0
6,head_warmup,6,1.9717330461666909,0.3168724279835391,0.043209876543209874,2.2118262449900308,0.1522633744855967,0.012345679012345678
7,head_warmup,7,1.9317278214442877,0.35905349794238683,0.04938271604938271,2.1800662588190147,0.17695473251028807,0.012345679012345678
8,head_warmup,8,1.9209583423755787,0.3662551440329218,0.043209876543209874,2.1542012956407337,0.1934156378600823,0.012345679012345678
9,head_warmup,9,1.8734780888498566,0.3868312757201646,0.05864197530864197,2.181782372203874,0.17695473251028807,0.0
10,head_warmup,10,1.827189079037419,0.3991769547325103,0.06172839506172839,2.15077993310528,0.17695473251028807,0.012345679012345678
11,head_warmup,11,1.7984556857450509,0.4218106995884774,0.08641975308641975,2.1695842389707214,0.19753086419753085,0.0
12,head_warmup,12,1.7938951607103701,0.4269547325102881,0.07716049382716049,2.1503671952235845,0.18930041152263374,0.0
13,finetune,1,1.7475721056078688,0.44650205761316875,0.08641975308641975,2.160232558662509,0.18930041152263374,0.0
14,finetune,2,1.7341599214224168,0.45164609053497945,0.07716049382716049,2.1578628457622764,0.20987654320987653,0.012345679012345678
15,finetune,3,1.696385571986069,0.4742798353909465,0.10802469135802469,2.1560880284250517,0.1934156378600823,0.012345679012345678
16,finetune,4,1.6377028167983632,0.4835390946502058,0.09567901234567901,2.146906228713047,0.2139917695473251,0.012345679012345678
17,finetune,5,1.6103344375704542,0.4876543209876543,0.12654320987654322,2.146556133105431,0.2139917695473251,0.012345679012345678
18,finetune,6,1.5959001764839078,0.49382716049382713,0.13271604938271606,2.1442524327172174,0.20987654320987653,0.012345679012345678
19,finetune,7,1.5380187902921512,0.5308641975308642,0.14814814814814814,2.141798466811945,0.205761316872428,0.012345679012345678
20,finetune,8,1.546307451931047,0.5123456790123457,0.14814814814814814,2.1350555537659446,0.2139917695473251,0.012345679012345678
21,finetune,9,1.5065968227975162,0.5360082304526749,0.1388888888888889,2.130423899050112,0.2222222222222222,0.012345679012345678
22,finetune,10,1.5004745927857763,0.5339506172839507,0.1574074074074074,2.1331197567927984,0.2222222222222222,0.012345679012345678
23,finetune,11,1.4844411744011774,0.529835390946502,0.1574074074074074,2.1238290203942194,0.2345679012345679,0.012345679012345678
