epoch,train_loss,train_exact_accuracy,val_loss,val_digit_accuracy,val_exact_accuracy
1,6.9826580918865435,0.0,6.932142469618055,0.13991769547325103,0.012345679012345678
2,6.7688639252274125,0.012345679012345678,6.9041760821401335,0.13991769547325103,0.0
3,6.650794358901035,0.012345679012345678,6.918629669848784,0.12345679012345678,0.0
4,6.530339782620653,0.021604938271604937,6.837907202449846,0.12757201646090535,0.0
5,6.377888879658263,0.027777777777777776,6.788083005834509,0.1440329218106996,0.0
6,6.126897517545723,0.033950617283950615,6.623644822909508,0.15637860082304528,0.0
7,5.887304158858311,0.04938271604938271,6.416791857024769,0.205761316872428,0.0
8,5.568802080036681,0.08950617283950617,6.175477163291272,0.24279835390946503,0.0
9,5.246981344105285,0.12654320987654322,5.978760383747242,0.2880658436213992,0.0
10,4.907526993457182,0.19753086419753085,5.755458019397877,0.30864197530864196,0.0
11,4.600523036203267,0.23148148148148148,5.465004379366651,0.3868312757201646,0.0
