epoch,stage,stage_epoch,train_loss,train_digit_accuracy,train_exact_accuracy,val_loss,val_digit_accuracy,val_exact_accuracy
1,spatial_head_warmup,1,2.2959661042248762,0.14506172839506173,0.0,2.2608287069532604,0.15637860082304528,0.0
2,spatial_head_warmup,2,2.116735381844603,0.2448559670781893,0.012345679012345678,2.22659742096324,0.18930041152263374,0.0
3,spatial_head_warmup,3,1.9968517209276742,0.29732510288065844,0.021604938271604937,2.1490533763979687,0.24691358024691357,0.012345679012345678
4,spatial_head_warmup,4,1.9223063904562114,0.3220164609053498,0.043209876543209874,2.1114123515140863,0.23045267489711935,0.0
5,spatial_head_warmup,5,1.8191267987828197,0.38271604938271603,0.04938271604938271,2.115360442502999,0.2345679012345679,0.0
6,spatial_head_warmup,6,1.76753466806294,0.3991769547325103,0.05864197530864197,2.082774848113825,0.2757201646090535,0.0
7,spatial_head_warmup,7,1.718185039214146,0.4269547325102881,0.06790123456790123,2.0811977827990495,0.2716049382716049,0.024691358024691357
8,spatial_head_warmup,8,1.653755580937421,0.4670781893004115,0.08641975308641975,2.0265082371087724,0.3045267489711934,0.024691358024691357
9,spatial_head_warmup,9,1.6204354807182595,0.46399176954732513,0.1111111111111111,2.0461446738537448,0.3168724279835391,0.024691358024691357
10,spatial_head_warmup,10,1.5750255128483714,0.49176954732510286,0.1574074074074074,1.9991625091175975,0.2962962962962963,0.0
11,finetune,1,1.4573056329915552,0.5329218106995884,0.14814814814814814,1.9070722468105363,0.35390946502057613,0.012345679012345678
12,finetune,2,1.2190499084967155,0.6131687242798354,0.24074074074074073,1.7325716254151897,0.4279835390946502,0.012345679012345678
13,finetune,3,1.0489350145245775,0.6862139917695473,0.3271604938271605,1.6646588054704077,0.4691358024691358,0.04938271604938271
14,finetune,4,0.9513362962522625,0.7304526748971193,0.4104938271604938,1.5888620217641194,0.49382716049382713,0.06172839506172839
15,finetune,5,0.849727604860141,0.7685185185185185,0.49074074074074076,1.491536224329913,0.51440329218107,0.07407407407407407
16,finetune,6,0.7759973149240753,0.7921810699588477,0.5092592592592593,1.441950081307211,0.5432098765432098,0.09876543209876543
17,finetune,7,0.6675019010349557,0.845679012345679,0.6234567901234568,1.4080458334934565,0.5555555555555556,0.09876543209876543
18,finetune,8,0.6221086117956374,0.8693415637860082,0.6759259259259259,1.3267004269140739,0.5843621399176955,0.1111111111111111
19,finetune,9,0.5642735181767263,0.897119341563786,0.7314814814814815,1.2928209422547141,0.5802469135802469,0.09876543209876543
20,finetune,10,0.5159475317707768,0.9074074074074074,0.7623456790123457,1.2422996170726823,0.6090534979423868,0.14814814814814814
21,finetune,11,0.43707765326087855,0.9454732510288066,0.8611111111111112,1.1927583644419542,0.6255144032921811,0.14814814814814814
22,finetune,12,0.4173623518443402,0.941358024691358,0.8518518518518519,1.1863363745771809,0.6502057613168725,0.20987654320987653
23,finetune,13,0.3900599670998844,0.9537037037037037,0.8796296296296297,1.1234379432819508,0.6666666666666666,0.2222222222222222
24,finetune,14,0.38730370648849155,0.9526748971193416,0.8827160493827161,1.098120739430557,0.6790123456790124,0.2345679012345679
25,finetune,15,0.338883152898447,0.9609053497942387,0.8950617283950617,1.0887141993016372,0.6625514403292181,0.20987654320987653
26,finetune,16,0.2995111085014579,0.977366255144033,0.9444444444444444,1.080423786316389,0.7037037037037037,0.2839506172839506
27,finetune,17,0.29812637946487947,0.977366255144033,0.9320987654320988,1.0329195113829623,0.7283950617283951,0.3333333333333333
28,finetune,18,0.3021118261931855,0.9753086419753086,0.9320987654320988,1.0110046745818337,0.7283950617283951,0.30864197530864196
29,finetune,19,0.262233602595918,0.9845679012345679,0.9598765432098766,0.9934100869261189,0.7366255144032922,0.345679012345679
30,finetune,20,0.2644254510049467,0.9835390946502057,0.9537037037037037,0.9806662856796642,0.7325102880658436,0.3333333333333333
31,finetune,21,0.23807758313638192,0.9876543209876543,0.9660493827160493,0.9659112633010487,0.7407407407407407,0.3333333333333333
32,finetune,22,0.23985395166609022,0.9866255144032922,0.9660493827160493,0.9793905902791906,0.7366255144032922,0.345679012345679
33,finetune,23,0.2581590539143409,0.977366255144033,0.9444444444444444,0.9600337949799903,0.7407407407407407,0.35802469135802467
34,finetune,24,0.22799167515319071,0.9886831275720165,0.9691358024691358,0.9560752930464568,0.7489711934156379,0.37037037037037035
35,finetune,25,0.23787682383884617,0.9866255144032922,0.9660493827160493,0.951526712488245,0.7489711934156379,0.35802469135802467
36,finetune,26,0.21701671495849703,0.9897119341563786,0.9753086419753086,0.9647684023704057,0.757201646090535,0.38271604938271603
37,finetune,27,0.21778473644344895,0.9866255144032922,0.9691358024691358,0.9639788012445709,0.7530864197530864,0.37037037037037035
38,finetune,28,0.2109745019747887,0.9897119341563786,0.9691358024691358,0.942479145379714,0.7613168724279835,0.38271604938271603
39,finetune,29,0.20554424344021596,0.992798353909465,0.9783950617283951,0.9234707811732351,0.7695473251028807,0.4074074074074074
40,finetune,30,0.21562594451286174,0.9938271604938271,0.9814814814814815,0.9135957132151098,0.7613168724279835,0.3950617283950617
41,finetune,31,0.2106039027372996,0.9907407407407407,0.9753086419753086,0.9162137228765606,0.7613168724279835,0.3950617283950617
42,finetune,32,0.19974829882015416,0.9948559670781894,0.9876543209876543,0.9206077493267295,0.7654320987654321,0.4074074074074074
43,finetune,33,0.19476877060937292,0.9948559670781894,0.9845679012345679,0.9138867943375198,0.757201646090535,0.38271604938271603
44,finetune,34,0.20408431560169032,0.992798353909465,0.9783950617283951,0.9112380801895519,0.7613168724279835,0.3950617283950617
45,finetune,35,0.1992754055026137,0.9938271604938271,0.9814814814814815,0.9059112263314518,0.7654320987654321,0.3950617283950617
46,finetune,36,0.20340689740799092,0.9886831275720165,0.9660493827160493,0.901413604065224,0.7654320987654321,0.4074074074074074
47,finetune,37,0.2025745893702095,0.9897119341563786,0.9753086419753086,0.8994390419971796,0.7695473251028807,0.4074074074074074
48,finetune,38,0.20126161181632382,0.9917695473251029,0.9753086419753086,0.8968696138005198,0.7695473251028807,0.4074074074074074
49,finetune,39,0.18997843765918118,0.9969135802469136,0.9907407407407407,0.8963379050478523,0.7736625514403292,0.41975308641975306
50,finetune,40,0.2104762625179173,0.9907407407407407,0.9753086419753086,0.8975909550984701,0.7736625514403292,0.41975308641975306
51,finetune,41,0.1980154816015267,0.9907407407407407,0.9783950617283951,0.8983782529830933,0.7736625514403292,0.41975308641975306
52,finetune,42,0.1973980924597493,0.9917695473251029,0.9814814814814815,0.898317403263516,0.7736625514403292,0.41975308641975306
