epoch,stage,train_loss,train_digit_accuracy,val_loss,val_digit_accuracy,val_exact_accuracy
1,head_warmup,2.376508746127533,0.15946502057613168,2.241389154897305,0.1728395061728395,0.0
2,head_warmup,2.16759871602549,0.23353909465020575,2.1389858202679166,0.2139917695473251,0.0
3,head_warmup,2.024789895049829,0.2716049382716049,1.9925047787128654,0.30864197530864196,0.0
4,head_warmup,1.9321612958554868,0.30349794238683125,1.8814312234336947,0.36213991769547327,0.06172839506172839
5,head_warmup,1.8560667057586795,0.36419753086419754,1.8550569393016674,0.35390946502057613,0.06172839506172839
6,head_warmup,1.8197737495595045,0.3559670781893004,1.8338290786546936,0.3868312757201646,0.04938271604938271
7,head_warmup,1.7751355406678753,0.3868312757201646,1.7521331688013586,0.411522633744856,0.06172839506172839
8,head_warmup,1.7557932722225111,0.389917695473251,1.7646809041254805,0.3786008230452675,0.06172839506172839
9,finetune,1.6561134165697138,0.42386831275720166,1.6511803311085014,0.4403292181069959,0.09876543209876543
10,finetune,1.5127976485240606,0.49588477366255146,1.550267075805507,0.48559670781893005,0.12345679012345678
11,finetune,1.4290147475254389,0.5174897119341564,1.4574941538979487,0.5061728395061729,0.16049382716049382
12,finetune,1.297866216412297,0.5936213991769548,1.3771341514194944,0.5637860082304527,0.19753086419753085
13,finetune,1.2654383236488687,0.5967078189300411,1.3001399663250142,0.5761316872427984,0.19753086419753085
14,finetune,1.1657099507963706,0.6378600823045267,1.2512383701379408,0.6131687242798354,0.24691358024691357
15,finetune,1.0852321489357655,0.6738683127572016,1.1898682362748763,0.6255144032921811,0.2345679012345679
16,finetune,1.037869237087391,0.6893004115226338,1.1228864712970248,0.654320987654321,0.25925925925925924
17,finetune,0.9879946242634652,0.7191358024691358,1.121593961499846,0.6502057613168725,0.25925925925925924
18,finetune,0.9403458828788726,0.7211934156378601,1.083572752191206,0.6502057613168725,0.25925925925925924
19,finetune,0.9396992850696109,0.720164609053498,1.047730088724521,0.6748971193415638,0.2839506172839506
20,finetune,0.8928507029274364,0.742798353909465,1.0414190331604256,0.6707818930041153,0.32098765432098764
21,finetune,0.8716315173317866,0.73559670781893,1.004332902009595,0.691358024691358,0.345679012345679
22,finetune,0.8280248480078615,0.7654320987654321,1.0025607381828527,0.691358024691358,0.35802469135802467
23,finetune,0.8079183484301155,0.7685185185185185,0.9892744811964623,0.6831275720164609,0.32098765432098764
24,finetune,0.8120675442640674,0.7592592592592593,1.005911699047795,0.6584362139917695,0.2962962962962963
25,finetune,0.7895027754728686,0.7818930041152263,0.9764676108772372,0.6954732510288066,0.345679012345679
26,finetune,0.776687998339963,0.7633744855967078,0.9601845564665618,0.7037037037037037,0.37037037037037035
27,finetune,0.7712271630518721,0.7695473251028807,0.9611117417920273,0.6872427983539094,0.3333333333333333
28,finetune,0.7461478312810262,0.7901234567901234,0.9630934098129901,0.6872427983539094,0.3333333333333333
29,finetune,0.7399061221644712,0.7880658436213992,0.9742003934373581,0.6995884773662552,0.35802469135802467
30,finetune,0.7300679683685303,0.7829218106995884,0.9614318668106456,0.691358024691358,0.35802469135802467
31,finetune,0.7184453545283879,0.8024691358024691,0.9555618213527978,0.7037037037037037,0.37037037037037035
32,finetune,0.7195404326474225,0.7983539094650206,0.9548129638036092,0.7037037037037037,0.38271604938271603
33,finetune,0.7080608773133392,0.8096707818930041,0.9667618642618627,0.691358024691358,0.345679012345679
34,finetune,0.7065863226666863,0.7993827160493827,0.9479076101946733,0.7160493827160493,0.3950617283950617
35,finetune,0.6972522129737792,0.8117283950617284,0.9680010085243257,0.7037037037037037,0.345679012345679
36,finetune,0.7062730914280738,0.7973251028806584,0.9604405280003332,0.7119341563786008,0.3950617283950617
37,finetune,0.6885607083147935,0.8127572016460906,0.9518564340999588,0.7078189300411523,0.35802469135802467
38,finetune,0.6795236978511261,0.8179012345679012,0.9611152415412935,0.7037037037037037,0.37037037037037035
39,finetune,0.7059442695276237,0.8055555555555556,0.9481353264286685,0.6995884773662552,0.38271604938271603
40,finetune,0.7181426517266796,0.7973251028806584,0.9517941254156607,0.7119341563786008,0.3950617283950617
41,finetune,0.6933307186566262,0.801440329218107,0.958645495858212,0.6954732510288066,0.35802469135802467
42,finetune,0.6900942546349985,0.8127572016460906,0.9532208290610293,0.6995884773662552,0.35802469135802467
43,finetune,0.6967484364784303,0.8179012345679012,0.9645013284290769,0.6995884773662552,0.37037037037037035
