epoch,stage,train_loss,val_accuracy,val_correct,val_total,val_mean_confidence,best
0,zero_shot,,0.9629629629629629,78,81,0.9541932256133469,True
1,decoder_only,0.08334766558291,0.9629629629629629,78,81,0.9681291234346083,True
2,decoder_only,0.07411755131626571,0.9629629629629629,78,81,0.9765488402343091,True
3,decoder_only,0.0675776339377518,0.9629629629629629,78,81,0.9814294687023869,True
4,decoder_only,0.06515288628913739,0.9629629629629629,78,81,0.9848223078398057,True
5,decoder_only,0.061743221901081224,0.9629629629629629,78,81,0.9871593897725329,True
6,decoder_only,0.060691493201173015,0.9629629629629629,78,81,0.988840244434498,True
7,decoder_only,0.05747756801752581,0.9629629629629629,78,81,0.9899363488326838,True
8,decoder_only,0.056572467985528486,0.9629629629629629,78,81,0.9908207022113564,True
9,full_model,0.05479001534389861,0.9629629629629629,78,81,0.9917176961898804,True
10,full_model,0.052397002270560204,0.9629629629629629,78,81,0.9926444888114929,True
11,full_model,0.050395327873160076,0.9629629629629629,78,81,0.9932097005255428,True
12,full_model,0.05015080301436009,0.9629629629629629,78,81,0.9936244031529368,True
13,full_model,0.05000107667558355,0.9629629629629629,78,81,0.9938916733235489,True
14,full_model,0.04894103863517995,0.9629629629629629,78,81,0.994093992827851,True
15,full_model,0.04814351615093557,0.9629629629629629,78,81,0.9942596981554855,True
16,full_model,0.046716146616633106,0.9629629629629629,78,81,0.9943737446525951,True
17,full_model,0.0473895466392055,0.9629629629629629,78,81,0.9944303065170477,True
18,full_model,0.0470120456000721,0.9629629629629629,78,81,0.9944701989491781,True
19,full_model,0.04687025120487598,0.9629629629629629,78,81,0.9944871862729391,True
20,full_model,0.0456723803539335,0.9629629629629629,78,81,0.9944915285816899,True
